nama,lat,lon,populasi
Surabaya,-7.2575,112.7521,3018000
Malang,-7.9666,112.6326,891859
Kediri,-7.8169,112.0114,2003781
Blitar,-8.0955,112.1600,160540
Madiun,-7.6297,111.5239,962800
Mojokerto,-7.4706,112.4401,1028163
Pasuruan,-7.6453,112.9075,213200
Probolinggo,-7.7490,113.2177,243050
Batu,-7.8710,112.5264,223600
Sidoarjo,-7.4460,112.7183,2019000
Gresik,-7.1566,112.6555,1377287
Lamongan,-7.1167,112.4167,1380000
Tuban,-6.8946,112.0417,1266396
Bojonegoro,-7.1500,111.8833,1367980
Jombang,-7.5500,112.2333,1373793
Nganjuk,-7.6000,111.9000,1138604
Ngawi,-7.4049,111.4467,907002
Magetan,-7.6500,111.3333,692800
Ponorogo,-7.8667,111.4667,966111
Pacitan,-8.2000,111.1000,594071
Trenggalek,-8.0500,111.7000,754257
Tulungagung,-8.0667,111.9000,1120000
Blitar Kab,-8.1000,112.1500,1263600
Malang Kab,-8.1000,112.6000,2760000
Pasuruan Kab,-7.7000,112.9000,1669400
Probolinggo Kab,-7.9000,113.3000,1190000
Lumajang,-8.1333,113.2167,1152264
Jember,-8.1667,113.7167,332611
Bondowoso,-7.9167,113.8167,788200
Situbondo,-7.7000,114.0500,704243
Banyuwangi,-8.2167,114.3667,1790000
Jember Kab,-8.2500,113.6500,2620135
Pamekasan,-7.1667,113.4667,889798 
Sumenep,-7.0000,113.8667,1159397
Bangkalan,-7.0500,112.9333,1110000
Sampang,-7.1833,113.2500,1203910
